id;payment_transaction_no;prn_no;encrypted_prn_no;total_first_premium;payment_method;esb_payment_mode;payment_status;created_date;modified_date;created_time;modified_time
1;Generic Granite Chicken Auto Loan Account;3rd generation copying;deposit Car;out-of-the-box mobile pro;connecting Japan enable;policy;Cloned arc;2019-07-22;2019-07-21;2019-07-21T13:30:51;2019-07-21T15:05:27
2;Producer Paradigm deposit;payment Buckinghamshire;Metal;Assistant navigate;West Virginia Hawaii Towe;Director Chair;Toys gener;2019-07-21;2019-07-21;2019-07-22T01:34:38;2019-07-21T13:57:54
3;Gorgeous Fresh Table Synergized generate;turquoise redundant;Applications panel;Small circuit;District 1080p;bypass;Polarised;2019-07-22;2019-07-22;2019-07-21T23:10:29;2019-07-21T14:42:50
4;withdrawal Solutions Gorgeous Steel Car;Computers;Extended;open-source Engineer unle;Summit compress;Shoes;Movies Gen;2019-07-21;2019-07-22;2019-07-21T22:52:50;2019-07-21T14:13:20
5;Unbranded Ameliorated;payment Liaison Vermont;streamline navigating open-source;sensor Strategist;Metal;mint green Kentucky Grove;Communicat;2019-07-22;2019-07-22;2019-07-21T15:28:00;2019-07-22T03:20:21
6;Cloned quantifying;Macedonia Executive;AI;Bahrain wireless Mali;Intelligent Summit;initiatives Frozen;overriding;2019-07-21;2019-07-21;2019-07-21T22:51:52;2019-07-21T21:42:10
7;generate actuating;Avon cross-platform Wall;neural;pink Synergized;Gibraltar;input Andorra yellow;invoice Pi;2019-07-21;2019-07-21;2019-07-21T19:18:09;2019-07-21T09:06:26
8;quantify Toys Ergonomic Granite Pants;interactive target primary;withdrawal navigating;Licensed web services;mint green;Gorgeous impactful;Indiana wi;2019-07-21;2019-07-22;2019-07-21T10:47:05;2019-07-21T11:13:12
9;Cape Verde Ridge;back-end methodology;customized Product Chips;Rubber green;customized;invoice Gloves schemas;Executive ;2019-07-22;2019-07-21;2019-07-21T14:59:36;2019-07-21T20:37:18
10;Strategist;Cambridgeshire Metal;withdrawal Chips JBOD;deposit Steel;California Antarctica (th;blue innovate Officer;SQL progra;2019-07-21;2019-07-22;2019-07-21T15:42:04;2019-07-21T14:31:01
